        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41015000e+00,        +7.563846996467e-11,        +8.802074368801e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.533272494979e-13,        +2.027106703368e-03,        +7.524696415376e-13,        +8.548776231711e-03,        +1.533272494979e-13,        +2.027106703368e-03,        +7.524696415376e-13,        +8.548776231711e-03,        +9.630212782022e-14,        +1.273189791718e-03,        +4.516668372869e-13,        +5.131368111224e-03,        +7.532372027882e-11,        +9.958387618628e-01,        +8.634535531536e-11,        +9.809659825349e-01,        +6.512030853663e-14,        +8.609416420910e-04,        +4.712518938282e-13,        +5.353873122210e-03
 2.41015500e+00,        +7.564784024881e-11,        +8.802975454578e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.533693035496e-13,        +2.027411530127e-03,        +7.526472376074e-13,        +8.549918621163e-03,        +1.533693035496e-13,        +2.027411530127e-03,        +7.526472376074e-13,        +8.549918621163e-03,        +9.632657301478e-14,        +1.273355229944e-03,        +4.517729974731e-13,        +5.132048814678e-03,        +7.533300974785e-11,        +9.958382089969e-01,        +8.635397131112e-11,        +9.809634453338e-01,        +6.513462439082e-14,        +8.610242430794e-04,        +4.713629995827e-13,        +5.354587230361e-03
 2.41016000e+00,        +7.565721389926e-11,        +8.803876873344e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.534113736801e-13,        +2.027716403678e-03,        +7.528248978668e-13,        +8.551061182445e-03,        +1.534113736801e-13,        +2.027716403678e-03,        +7.528248978668e-13,        +8.551061182445e-03,        +9.635102728974e-14,        +1.273520690546e-03,        +4.518791958575e-13,        +5.132729618535e-03,        +7.534230255306e-11,        +9.958376560546e-01,        +8.636259049462e-11,        +9.809609077577e-01,        +6.514894523190e-14,        +8.611068512072e-04,        +4.714741450862e-13,        +5.355301441274e-03
 2.41016500e+00,        +7.566659091765e-11,        +8.804778625257e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.534534598973e-13,        +2.028021324026e-03,        +7.530026223465e-13,        +8.552203915570e-03,        +1.534534598973e-13,        +2.028021324026e-03,        +7.530026223465e-13,        +8.552203915570e-03,        +9.637549064955e-14,        +1.273686173525e-03,        +4.519854324583e-13,        +5.133410522801e-03,        +7.535159869604e-11,        +9.958371030360e-01,        +8.637121286741e-11,        +9.809583698067e-01,        +6.516327106222e-14,        +8.611894664733e-04,        +4.715853303577e-13,        +5.356015754955e-03
 2.41017000e+00,        +7.567597130559e-11,        +8.805680710480e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.534955622093e-13,        +2.028326291175e-03,        +7.531804110774e-13,        +8.553346820547e-03,        +1.534955622093e-13,        +2.028326291175e-03,        +7.531804110774e-13,        +8.553346820547e-03,        +9.639996309866e-14,        +1.273851678882e-03,        +4.520917072940e-13,        +5.134091527483e-03,        +7.536089817840e-11,        +9.958365499411e-01,        +8.637983843102e-11,        +9.809558314806e-01,        +6.517760188417e-14,        +8.612720888771e-04,        +4.716965554164e-13,        +5.356730171411e-03
 2.41017500e+00,        +7.568535506472e-11,        +8.806583129174e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.535376806241e-13,        +2.028631305130e-03,        +7.533582640905e-13,        +8.554489897391e-03,        +1.535376806241e-13,        +2.028631305130e-03,        +7.533582640905e-13,        +8.554489897391e-03,        +9.642444464154e-14,        +1.274017206619e-03,        +4.521980203830e-13,        +5.134772632589e-03,        +7.537020100175e-11,        +9.958359967698e-01,        +8.638846718698e-11,        +9.809532927794e-01,        +6.519193770010e-14,        +8.613547184176e-04,        +4.718078202815e-13,        +5.357444690649e-03
 2.41018000e+00,        +7.569474219664e-11,        +8.807485881498e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.535798151497e-13,        +2.028936365893e-03,        +7.535361814166e-13,        +8.555633146113e-03,        +1.535798151497e-13,        +2.028936365893e-03,        +7.535361814166e-13,        +8.555633146113e-03,        +9.644893528264e-14,        +1.274182756737e-03,        +4.523043717435e-13,        +5.135453838123e-03,        +7.537950716769e-11,        +9.958354435223e-01,        +8.639709913684e-11,        +9.809507537031e-01,        +6.520627851240e-14,        +8.614373550941e-04,        +4.719191249719e-13,        +5.358159312674e-03
 2.41018500e+00,        +7.570413270298e-11,        +8.808388967613e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.536219657940e-13,        +2.029241473471e-03,        +7.537141630866e-13,        +8.556776566724e-03,        +1.536219657940e-13,        +2.029241473471e-03,        +7.537141630866e-13,        +8.556776566724e-03,        +9.647343502641e-14,        +1.274348329237e-03,        +4.524107613941e-13,        +5.136135144094e-03,        +7.538881667784e-11,        +9.958348901984e-01,        +8.640573428215e-11,        +9.809482142517e-01,        +6.522062432343e-14,        +8.615199989057e-04,        +4.720304695069e-13,        +5.358874037494e-03
 2.41019000e+00,        +7.571352658538e-11,        +8.809292387682e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.536641325652e-13,        +2.029546627866e-03,        +7.538922091316e-13,        +8.557920159237e-03,        +1.536641325652e-13,        +2.029546627866e-03,        +7.538922091316e-13,        +8.557920159237e-03,        +9.649794387732e-14,        +1.274513924120e-03,        +4.525171893531e-13,        +5.136816550508e-03,        +7.539812953380e-11,        +9.958343367982e-01,        +8.641437262443e-11,        +9.809456744251e-01,        +6.523497513556e-14,        +8.616026498515e-04,        +4.721418539056e-13,        +5.359588865115e-03
 2.41019500e+00,        +7.572292384544e-11,        +8.810196141865e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.537063154712e-13,        +2.029851829084e-03,        +7.540703195824e-13,        +8.559063923664e-03,        +1.537063154712e-13,        +2.029851829084e-03,        +7.540703195824e-13,        +8.559063923664e-03,        +9.652246183985e-14,        +1.274679541388e-03,        +4.526236556389e-13,        +5.137498057371e-03,        +7.540744573718e-11,        +9.958337833216e-01,        +8.642301416525e-11,        +9.809431342234e-01,        +6.524933095118e-14,        +8.616853079308e-04,        +4.722532781872e-13,        +5.360303795544e-03
 2.41020000e+00,        +7.573232448481e-11,        +8.811100230324e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.537485145201e-13,        +2.030157077127e-03,        +7.542484944700e-13,        +8.560207860016e-03,        +1.537485145201e-13,        +2.030157077127e-03,        +7.542484944700e-13,        +8.560207860016e-03,        +9.654698891845e-14,        +1.274845181040e-03,        +4.527301602699e-13,        +5.138179664690e-03,        +7.541676528959e-11,        +9.958332297687e-01,        +8.643165890612e-11,        +9.809405936465e-01,        +6.526369177266e-14,        +8.617679731427e-04,        +4.723647423708e-13,        +5.361018828786e-03
 2.41020500e+00,        +7.574172850509e-11,        +8.812004653218e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.537907297199e-13,        +2.030462372001e-03,        +7.544267338254e-13,        +8.561351968305e-03,        +1.537907297199e-13,        +2.030462372001e-03,        +7.544267338254e-13,        +8.561351968305e-03,        +9.657152511760e-14,        +1.275010843080e-03,        +4.528367032646e-13,        +5.138861372471e-03,        +7.542608819265e-11,        +9.958326761394e-01,        +8.644030684862e-11,        +9.809380526944e-01,        +6.527805760237e-14,        +8.618506454864e-04,        +4.724762464757e-13,        +5.361733964849e-03
 2.41021000e+00,        +7.575113590794e-11,        +8.812909410711e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.538329610786e-13,        +2.030767713709e-03,        +7.546050376797e-13,        +8.562496248544e-03,        +1.538329610786e-13,        +2.030767713709e-03,        +7.546050376797e-13,        +8.562496248544e-03,        +9.659607044177e-14,        +1.275176527507e-03,        +4.529432846415e-13,        +5.139543180723e-03,        +7.543541444798e-11,        +9.958321224338e-01,        +8.644895799427e-11,        +9.809355113670e-01,        +6.529242844270e-14,        +8.619333249609e-04,        +4.725877905210e-13,        +5.362449203739e-03
