        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41015000e+00,        +4.645377179395e-11,        +9.982572094698e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.982084789949e-14,        +1.718285616366e-03,        +4.217014403618e-13,        +4.224376607165e-03,        +7.982084789949e-14,        +1.718285616366e-03,        +4.217014403618e-13,        +4.224376607165e-03,        +5.105792718988e-14,        +1.099112627848e-03,        +2.514903376463e-13,        +2.519293978151e-03,        +4.628805747987e-11,        +9.964327048660e-01,        +9.889308407208e-11,        +9.906573489672e-01,        +3.483553898941e-14,        +7.498968898355e-04,        +2.594450968928e-13,        +2.598980447440e-03
 2.41015500e+00,        +4.645914340183e-11,        +9.983080320519e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.984349460385e-14,        +1.718574402315e-03,        +4.218046936936e-13,        +4.225195832860e-03,        +7.984349460385e-14,        +1.718574402315e-03,        +4.218046936936e-13,        +4.225195832860e-03,        +5.107129139822e-14,        +1.099273203479e-03,        +2.515513499664e-13,        +2.519776881384e-03,        +4.629338519304e-11,        +9.964321725144e-01,        +9.889793946888e-11,        +9.906555521307e-01,        +3.484342278634e-14,        +7.499798798479e-04,        +2.595076926452e-13,        +2.599475155097e-03
 2.41016000e+00,        +4.646451697385e-11,        +9.983588741473e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.986615020341e-14,        +1.718863240273e-03,        +4.219079853934e-13,        +4.226015276858e-03,        +7.986615020341e-14,        +1.718863240273e-03,        +4.219079853934e-13,        +4.226015276858e-03,        +5.108466069804e-14,        +1.099433805086e-03,        +2.516123848169e-13,        +2.520259911866e-03,        +4.629871485356e-11,        +9.964316400752e-01,        +9.890279673321e-11,        +9.906537548202e-01,        +3.485130939338e-14,        +7.500628794439e-04,        +2.595703113087e-13,        +2.599969991055e-03
 2.41016500e+00,        +4.646989251099e-11,        +9.984097357657e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.988881470272e-14,        +1.719152130249e-03,        +4.220113154801e-13,        +4.226834939229e-03,        +7.988881470272e-14,        +1.719152130249e-03,        +4.220113154801e-13,        +4.226834939229e-03,        +5.109803509191e-14,        +1.099594432671e-03,        +2.516734422090e-13,        +2.520743069637e-03,        +4.630404646239e-11,        +9.964311075485e-01,        +9.890765586599e-11,        +9.906519570358e-01,        +3.485919881188e-14,        +7.501458886232e-04,        +2.596329528944e-13,        +2.600464955355e-03
 2.41017000e+00,        +4.647527001422e-11,        +9.984606169166e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.991148810631e-14,        +1.719441072249e-03,        +4.221146839726e-13,        +4.227654820039e-03,        +7.991148810631e-14,        +1.719441072249e-03,        +4.221146839726e-13,        +4.227654820039e-03,        +5.111141458237e-14,        +1.099755086237e-03,        +2.517345221536e-13,        +2.521226354736e-03,        +4.630938002049e-11,        +9.964305749341e-01,        +9.891251686812e-11,        +9.906501587772e-01,        +3.486709104323e-14,        +7.502289073858e-04,        +2.596956174136e-13,        +2.600960048035e-03
 2.41017500e+00,        +4.648064948449e-11,        +9.985115176098e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.993417041871e-14,        +1.719730066280e-03,        +4.222180908899e-13,        +4.228474919354e-03,        +7.993417041871e-14,        +1.719730066280e-03,        +4.222180908899e-13,        +4.228474919354e-03,        +5.112479917199e-14,        +1.099915765786e-03,        +2.517956246620e-13,        +2.521709767201e-03,        +4.631471552881e-11,        +9.964300422322e-01,        +9.891737974055e-11,        +9.906483600443e-01,        +3.487498608877e-14,        +7.503119357316e-04,        +2.597583048777e-13,        +2.601455269134e-03
 2.41018000e+00,        +4.648603092279e-11,        +9.985624378548e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.995686164448e-14,        +1.720019112350e-03,        +4.223215362511e-13,        +4.229295237245e-03,        +7.995686164448e-14,        +1.720019112350e-03,        +4.223215362511e-13,        +4.229295237245e-03,        +5.113818886332e-14,        +1.100076471322e-03,        +2.518567497452e-13,        +2.522193307073e-03,        +4.632005298834e-11,        +9.964295094427e-01,        +9.892224448418e-11,        +9.906465608370e-01,        +3.488288394989e-14,        +7.503949736604e-04,        +2.598210152979e-13,        +2.601950618692e-03
 2.41018500e+00,        +4.649141433008e-11,        +9.986133776612e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.997956178813e-14,        +1.720308210464e-03,        +4.224250200749e-13,        +4.230115773776e-03,        +7.997956178813e-14,        +1.720308210464e-03,        +4.224250200749e-13,        +4.230115773776e-03,        +5.115158365892e-14,        +1.100237202847e-03,        +2.519178974144e-13,        +2.522676974390e-03,        +4.632539240000e-11,        +9.964289765655e-01,        +9.892711109995e-11,        +9.906447611551e-01,        +3.489078462793e-14,        +7.504780211721e-04,        +2.598837486854e-13,        +2.602446096747e-03
 2.41019000e+00,        +4.649679970733e-11,        +9.986643370388e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.000227085421e-14,        +1.720597360631e-03,        +4.225285423804e-13,        +4.230936529017e-03,        +8.000227085421e-14,        +1.720597360631e-03,        +4.225285423804e-13,        +4.230936529017e-03,        +5.116498356134e-14,        +1.100397960363e-03,        +2.519790676806e-13,        +2.523160769191e-03,        +4.633073376479e-11,        +9.964284436007e-01,        +9.893197958877e-11,        +9.906429609985e-01,        +3.489868812427e-14,        +7.505610782665e-04,        +2.599465050515e-13,        +2.602941703338e-03
 2.41019500e+00,        +4.650218705551e-11,        +9.987153159972e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.002498884729e-14,        +1.720886562857e-03,        +4.226321031867e-13,        +4.231757503035e-03,        +8.002498884729e-14,        +1.720886562857e-03,        +4.226321031867e-13,        +4.231757503035e-03,        +5.117838857318e-14,        +1.100558743874e-03,        +2.520402605551e-13,        +2.523644691515e-03,        +4.633607708364e-11,        +9.964279105483e-01,        +9.893684995157e-11,        +9.906411603669e-01,        +3.490659444028e-14,        +7.506441449435e-04,        +2.600092844076e-13,        +2.603437438506e-03
