        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43574000e+00,        +4.727461749889e-04,        +1.321332124845e-03,        -9.990284879492e-05
 2.43574500e+00,        +4.737301520519e-04,        +1.321424049735e-03,        -9.991295647936e-05
 2.43575000e+00,        +4.747189134069e-04,        +1.321516257225e-03,        -9.992309712062e-05
 2.43575500e+00,        +4.757124904300e-04,        +1.321608748973e-03,        -9.993327089228e-05
 2.43576000e+00,        +4.767109147558e-04,        +1.321701525768e-03,        -9.994347797948e-05
 2.43576500e+00,        +4.777142182797e-04,        +1.321794589365e-03,        -9.995371855674e-05
 2.43577000e+00,        +4.787224331610e-04,        +1.321887941610e-03,        -9.996399281386e-05
 2.43577500e+00,        +4.797355918248e-04,        +1.321981583270e-03,        -9.997430092679e-05
 2.43578000e+00,        +4.807537269654e-04,        +1.322075516282e-03,        -9.998464308639e-05
 2.43578500e+00,        +4.817768715488e-04,        +1.322169741397e-03,        -9.999501947452e-05
 2.43579000e+00,        +4.828050588147e-04,        +1.322264260533e-03,        -1.000054302830e-04
 2.43579500e+00,        +4.838383222803e-04,        +1.322359075389e-03,        -1.000158756914e-04
 2.43580000e+00,        +4.848766957423e-04,        +1.322454186964e-03,        -1.000263559029e-04
 2.43580500e+00,        +4.859202132802e-04,        +1.322549596873e-03,        -1.000368710975e-04
 2.43581000e+00,        +4.869689092587e-04,        +1.322645306755e-03,        -1.000474214775e-04
 2.43581500e+00,        +4.880228183311e-04,        +1.322741318148e-03,        -1.000580072268e-04
 2.43582000e+00,        +4.890819754418e-04,        +1.322837631900e-03,        -1.000686285483e-04
 2.43582500e+00,        +4.901464158292e-04,        +1.322934250192e-03,        -1.000792856433e-04
 2.43583000e+00,        +4.912161750294e-04,        +1.323031174878e-03,        -1.000899787049e-04
 2.43583500e+00,        +4.922912888779e-04,        +1.323128406808e-03,        -1.001007079254e-04
 2.43584000e+00,        +4.933717935142e-04,        +1.323225947662e-03,        -1.001114735223e-04
 2.43584500e+00,        +4.944577253833e-04,        +1.323323799175e-03,        -1.001222756894e-04
 2.43585000e+00,        +4.955491212405e-04,        +1.323421962741e-03,        -1.001331146339e-04
 2.43585500e+00,        +4.966460181532e-04,        +1.323520440355e-03,        -1.001439905572e-04
 2.43586000e+00,        +4.977484535045e-04,        +1.323619233185e-03,        -1.001549036720e-04
 2.43586500e+00,        +4.988564649970e-04,        +1.323718342781e-03,        -1.001658541883e-04
 2.43587000e+00,        +4.999700906552e-04,        +1.323817770755e-03,        -1.001768423133e-04
 2.43587500e+00,        +5.010893688294e-04,        +1.323917519192e-03,        -1.001878682617e-04
 2.43588000e+00,        +5.022143381990e-04,        +1.324017589447e-03,        -1.001989322437e-04
 2.43588500e+00,        +5.033450377754e-04,        +1.324117983098e-03,        -1.002100344802e-04
 2.43589000e+00,        +5.044815069064e-04,        +1.324218701577e-03,        -1.002211751827e-04
 2.43589500e+00,        +5.056237852786e-04,        +1.324319747189e-03,        -1.002323545748e-04
 2.43590000e+00,        +5.067719129218e-04,        +1.324421121334e-03,        -1.002435728759e-04
 2.43590500e+00,        +5.079259302117e-04,        +1.324522825633e-03,        -1.002548303051e-04
 2.43591000e+00,        +5.090858778746e-04,        +1.324624861695e-03,        -1.002661270930e-04
 2.43591500e+00,        +5.102517969901e-04,        +1.324727231212e-03,        -1.002774634584e-04
 2.43592000e+00,        +5.114237289952e-04,        +1.324829936032e-03,        -1.002888396276e-04
 2.43592500e+00,        +5.126017156882e-04,        +1.324932977996e-03,        -1.003002558338e-04
 2.43593000e+00,        +5.137857992318e-04,        +1.325036358752e-03,        -1.003117123052e-04
 2.43593500e+00,        +5.149760221578e-04,        +1.325140080158e-03,        -1.003232092803e-04
 2.43594000e+00,        +5.161724273705e-04,        +1.325244143834e-03,        -1.003347469817e-04
 2.43594500e+00,        +5.173750581508e-04,        +1.325348551855e-03,        -1.003463256558e-04
 2.43595000e+00,        +5.185839581599e-04,        +1.325453305529e-03,        -1.003579455377e-04
 2.43595500e+00,        +5.197991714437e-04,        +1.325558406793e-03,        -1.003696068600e-04
 2.43596000e+00,        +5.210207424366e-04,        +1.325663857854e-03,        -1.003813098711e-04
 2.43596500e+00,        +5.222487159656e-04,        +1.325769660609e-03,        -1.003930548162e-04
 2.43597000e+00,        +5.234831372553e-04,        +1.325875816591e-03,        -1.004048419383e-04
 2.43597500e+00,        +5.247240519302e-04,        +1.325982327306e-03,        -1.004166714783e-04
 2.43598000e+00,        +5.259715060214e-04,        +1.326089195311e-03,        -1.004285436989e-04
 2.43598500e+00,        +5.272255459690e-04,        +1.326196422100e-03,        -1.004404588387e-04
 2.43599000e+00,        +5.284862186277e-04,        +1.326304009977e-03,        -1.004524171534e-04
 2.43599500e+00,        +5.297535712705e-04,        +1.326411960287e-03,        -1.004644189013e-04
 2.43600000e+00,        +5.310276515937e-04,        +1.326520275402e-03,        -1.004764643320e-04
 2.43600500e+00,        +5.323085077211e-04,        +1.326628957387e-03,        -1.004885537125e-04
