        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40075000e+00,        +3.036683621068e+00,        +1.493004968242e+00,        +2.513913776979e+00,        -2.880948283158e+00,        +5.926941290366e-02,        +3.152244532049e-02,        +1.453642731323e+00,        +1.458142370346e+00,        +1.004492195629e+01,        -4.080574481255e+00,        -2.712795570002e-02,        +6.424012578681e-02,        +2.209784825954e+00,        +1.992937922429e+00,        +2.215494788500e+01,        -5.767859603615e+00,        -4.295386075483e-02,        +1.107343406436e-01,        -2.204558982992e+00,        -4.531654670564e-02,        +5.755056226928e+01,        -6.040931915241e+00,        +4.541097106591e-03,        +3.052467772470e-02
 2.40077500e+00,        +3.038612379240e+00,        +1.493740297412e+00,        +2.514366548433e+00,        -2.883304234772e+00,        +5.932367552308e-02,        +3.152562257050e-02,        +1.454244761796e+00,        +1.458793678422e+00,        +1.005046698436e+01,        -4.084118861600e+00,        -2.712929902945e-02,        +6.426855742073e-02,        +2.210317255926e+00,        +1.993563528497e+00,        +2.216822795055e+01,        -5.773156448246e+00,        -4.295669226437e-02,        +1.107876541682e-01,        -2.207972399208e+00,        -4.538146946628e-02,        +5.759081375719e+01,        -6.049308759883e+00,        +4.476009246414e-03,        +3.056965433281e-02
 2.40080000e+00,        +3.040539308318e+00,        +1.494474191685e+00,        +2.514825861578e+00,        -2.885659861007e+00,        +5.937788212212e-02,        +3.152878000483e-02,        +1.454846322453e+00,        +1.459444051186e+00,        +1.005602191748e+01,        -4.087665425665e+00,        -2.713063141699e-02,        +6.429696639397e-02,        +2.210849172310e+00,        +1.994188160837e+00,        +2.218152637084e+01,        -5.778458360151e+00,        -4.295949781739e-02,        +1.108409250588e-01,        -2.211386004013e+00,        -4.544647248973e-02,        +5.763111654678e+01,        -6.057699766572e+00,        +4.410860483019e-03,        +3.061463071297e-02
 2.40082500e+00,        +3.042464410034e+00,        +1.495206653823e+00,        +2.515291720876e+00,        -2.888015170136e+00,        +5.943203276813e-02,        +3.153191767334e-02,        +1.455447413447e+00,        +1.460093490082e+00,        +1.006158676971e+01,        -4.091214185143e+00,        -2.713195288662e-02,        +6.432535273210e-02,        +2.211380575201e+00,        +1.994811820955e+00,        +2.219484317636e+01,        -5.783765357921e+00,        -4.296227745922e-02,        +1.108941533621e-01,        -2.214799796918e+00,        -4.551155580084e-02,        +5.767147072705e+01,        -6.066104974179e+00,        +4.345650627922e-03,        +3.065960695693e-02
 2.40085000e+00,        +3.044387686119e+00,        +1.495937686582e+00,        +2.515764130808e+00,        -2.890370170436e+00,        +5.948612752834e-02,        +3.153503562577e-02,        +1.456048034933e+00,        +1.460741996548e+00,        +1.006716155511e+01,        -4.094765151751e+00,        -2.713326346227e-02,        +6.435371646065e-02,        +2.211911464690e+00,        +1.995434510354e+00,        +2.220817839768e+01,        -5.789077460185e+00,        -4.296503123506e-02,        +1.109473391246e-01,        -2.218213777431e+00,        -4.557671942535e-02,        +5.771187638727e+01,        -6.074524421687e+00,        +4.280379492382e-03,        +3.070458315655e-02
 2.40087500e+00,        +3.046309138299e+00,        +1.496667292711e+00,        +2.516243095874e+00,        -2.892724870185e+00,        +5.954016646986e-02,        +3.153813391170e-02,        +1.456648187063e+00,        +1.461389572020e+00,        +1.007274628783e+01,        -4.098318337223e+00,        -2.713456316780e-02,        +6.438205760508e-02,        +2.212441840872e+00,        +1.996056230534e+00,        +2.222153206543e+01,        -5.794394685613e+00,        -4.296775918996e-02,        +1.110004823928e-01,        -2.221627945061e+00,        -4.564196338993e-02,        +5.775233361690e+01,        -6.082958148188e+00,        +4.215046887397e-03,        +3.074955940388e-02
 2.40090000e+00,        +3.048228768298e+00,        +1.497395474952e+00,        +2.516728620594e+00,        -2.895079277663e+00,        +5.959414965969e-02,        +3.154121258058e-02,        +1.457247869992e+00,        +1.462036217931e+00,        +1.007834098201e+01,        -4.101873753311e+00,        -2.713585202700e-02,        +6.441037619084e-02,        +2.212971703839e+00,        +1.996676982992e+00,        +2.223490421031e+01,        -5.799717052920e+00,        -4.297046136885e-02,        +1.110535832131e-01,        -2.225042299315e+00,        -4.570728772213e-02,        +5.779284250561e+01,        -6.091406192888e+00,        +4.149652623715e-03,        +3.079453579112e-02
 2.40092500e+00,        +3.050146577838e+00,        +1.498122236043e+00,        +2.517220709510e+00,        -2.897433401154e+00,        +5.964807716470e-02,        +3.154427168172e-02,        +1.457847083873e+00,        +1.462681935710e+00,        +1.008394565185e+01,        -4.105431411787e+00,        -2.713713006362e-02,        +6.443867224328e-02,        +2.213501053683e+00,        +1.997296769221e+00,        +2.224829486311e+01,        -5.805044580857e+00,        -4.297313781653e-02,        +1.111066416317e-01,        -2.228456839701e+00,        -4.577269245044e-02,        +5.783340314331e+01,        -6.099868595101e+00,        +4.084196511826e-03,        +3.083951241062e-02
 2.40095000e+00,        +3.052062568635e+00,        +1.498847578712e+00,        +2.517719367183e+00,        -2.899787248945e+00,        +5.970194905165e-02,        +3.154731126430e-02,        +1.458445828860e+00,        +1.463326726784e+00,        +1.008956031158e+01,        -4.108991324444e+00,        -2.713839730132e-02,        +6.446694578773e-02,        +2.214029890498e+00,        +1.997915590712e+00,        +2.226170405468e+01,        -5.810377288220e+00,        -4.297578857765e-02,        +1.111596576950e-01,        -2.231871565722e+00,        -4.583817760423e-02,        +5.787401562011e+01,        -6.108345394257e+00,        +4.018678361955e-03,        +3.088448935489e-02
 2.40097500e+00,        +3.053976742407e+00,        +1.499571505683e+00,        +2.518224598194e+00,        -2.902140829323e+00,        +5.975576538717e-02,        +3.155033137736e-02,        +1.459044105107e+00,        +1.463970592576e+00,        +1.009518497547e+01,        -4.112553503093e+00,        -2.713965376371e-02,        +6.449519684946e-02,        +2.214558214377e+00,        +1.998533448950e+00,        +2.227513181595e+01,        -5.815715193847e+00,        -4.297841369675e-02,        +1.112126314489e-01,        -2.235286476883e+00,        -4.590374321380e-02,        +5.791468002634e+01,        -6.116836629895e+00,        +3.953097984069e-03,        +3.092946671661e-02
