        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.43060000e+00,        +2.313734058786e-08,        +2.307895426669e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.441506231841e-11,        +1.919626940259e-03,        +5.859727742955e-10,        +2.538991877726e-02,        +4.441506231841e-11,        +1.919626940259e-03,        +5.859727742955e-10,        +2.538991877726e-02,        +3.052171027683e-11,        +1.319153779188e-03,        +2.869592712529e-10,        +1.243380735266e-02,        +2.305080405707e-08,        +9.962598756560e-01,        +2.201492700743e-08,        +9.538962100723e-01,        +1.159975819235e-11,        +5.013436245321e-04,        +1.910952137151e-10,        +8.280063797816e-03
 2.43062000e+00,        +2.342858899527e-08,        +2.337037799510e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.498456789244e-11,        +1.920071580133e-03,        +5.934720988829e-10,        +2.539420196829e-02,        +4.498456789244e-11,        +1.920071580133e-03,        +5.934720988829e-10,        +2.539420196829e-02,        +3.091256399277e-11,        +1.319437717696e-03,        +2.906284712451e-10,        +1.243576254120e-02,        +2.334094370950e-08,        +9.962590454855e-01,        +2.229274479823e-08,        +9.538889273811e-01,        +1.174815388418e-11,        +5.014452166345e-04,        +1.935326267354e-10,        +8.281108109418e-03
 2.43064000e+00,        +2.372495539247e-08,        +2.366692393072e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.556414289361e-11,        +1.920515429423e-03,        +6.011039770595e-10,        +2.539848350462e-02,        +4.556414289361e-11,        +1.920515429423e-03,        +6.011039770595e-10,        +2.539848350462e-02,        +3.131032541647e-11,        +1.319721150093e-03,        +2.943624957597e-10,        +1.243771673165e-02,        +2.363618175359e-08,        +9.962582168263e-01,        +2.257544441150e-08,        +9.538816483963e-01,        +1.189917057542e-11,        +5.015465942328e-04,        +1.960130463955e-10,        +8.282151367422e-03
 2.43066000e+00,        +2.402654818065e-08,        +2.396870058356e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.615400163577e-11,        +1.920958486785e-03,        +6.088712296112e-10,        +2.540276338672e-02,        +4.615400163577e-11,        +1.920958486785e-03,        +6.088712296112e-10,        +2.540276338672e-02,        +3.171514152256e-11,        +1.320004075662e-03,        +2.981627237609e-10,        +1.243966992376e-02,        +2.393662617349e-08,        +9.962573896806e-01,        +2.286312924361e-08,        +9.538743731189e-01,        +1.205286400291e-11,        +5.016477569847e-04,        +1.985373865708e-10,        +8.283193570659e-03
 2.43068000e+00,        +2.433347820517e-08,        +2.427581891079e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.675436329482e-11,        +1.921400750876e-03,        +6.167767413059e-10,        +2.540704161505e-02,        +4.675436329482e-11,        +1.921400750876e-03,        +6.167767413059e-10,        +2.540704161505e-02,        +3.212716261867e-11,        +1.320286493685e-03,        +3.020305654762e-10,        +1.244162211731e-02,        +2.424238738809e-08,        +9.962565640509e-01,        +2.315590502218e-08,        +9.538671015497e-01,        +1.220929116658e-11,        +5.017487045477e-04,        +2.011065818277e-10,        +8.284234717958e-03
 2.43070000e+00,        +2.464585880148e-08,        +2.458839236282e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.736545200146e-11,        +1.921842220350e-03,        +6.248234621148e-10,        +2.541131819011e-02,        +4.736545200146e-11,        +1.921842220350e-03,        +6.248234621148e-10,        +2.541131819011e-02,        +3.254654240899e-11,        +1.320568403445e-03,        +3.059674629920e-10,        +1.244357331204e-02,        +2.455357829672e-08,        +9.962557399396e-01,        +2.345387984989e-08,        +9.538598336897e-01,        +1.236851035352e-11,        +5.018494365786e-04,        +2.037215878165e-10,        +8.285274808148e-03
 2.43072000e+00,        +2.496380584101e-08,        +2.490653692914e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.798749693381e-11,        +1.922282893860e-03,        +6.330144084297e-10,        +2.541559311239e-02,        +4.798749693381e-11,        +1.922282893860e-03,        +6.330144084297e-10,        +2.541559311239e-02,        +3.297343805773e-11,        +1.320849804222e-03,        +3.099748908478e-10,        +1.244552350773e-02,        +2.487031432486e-08,        +9.962549173492e-01,        +2.375716424820e-08,        +9.538525695398e-01,        +1.253058116196e-11,        +5.019499527343e-04,        +2.063833816637e-10,        +8.286313840055e-03
 2.43074000e+00,        +2.528743777661e-08,        +2.523037118398e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.862073240953e-11,        +1.922722770059e-03,        +6.413526642751e-10,        +2.541986638240e-02,        +4.862073240953e-11,        +1.922722770059e-03,        +6.413526642751e-10,        +2.541986638240e-02,        +3.340801025214e-11,        +1.321130695299e-03,        +3.140543566283e-10,        +1.244747270415e-02,        +2.519271346942e-08,        +9.962540962820e-01,        +2.406587120072e-08,        +9.538453091009e-01,        +1.269556452515e-11,        +5.020502526711e-04,        +2.090929623617e-10,        +8.287351812502e-03
 2.43076000e+00,        +2.561687568741e-08,        +2.556001633120e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.926539797665e-11,        +1.923161847597e-03,        +6.498413825033e-10,        +2.542413800065e-02,        +4.926539797665e-11,        +1.923161847597e-03,        +6.498413825033e-10,        +2.542413800065e-02,        +3.385042326477e-11,        +1.321411075957e-03,        +3.182074015454e-10,        +1.244942090107e-02,        +2.552089634344e-08,        +9.962532767404e-01,        +2.438011619600e-08,        +9.538380523740e-01,        +1.286352273486e-11,        +5.021503360449e-04,        +2.118513511528e-10,        +8.288388724312e-03
 2.43078000e+00,        +2.595224332321e-08,        +2.589559624875e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.992173850375e-11,        +1.923600125123e-03,        +6.584837859790e-10,        +2.542840796766e-02,        +4.992173850375e-11,        +1.923600125123e-03,        +6.584837859790e-10,        +2.542840796766e-02,        +3.430084501514e-11,        +1.321690945478e-03,        +3.224356010171e-10,        +1.245136809826e-02,        +2.585498622022e-08,        +9.962524587269e-01,        +2.470001726984e-08,        +9.538307993598e-01,        +1.303451946471e-11,        +5.022502025117e-04,        +2.146595919107e-10,        +8.289424574306e-03
