        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 2.41544000e+00,        +5.681859958962e-09,        +5.617635232351e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.966767268096e-11,        +6.981459058735e-03,        +5.548439453641e-11,        +9.876824008950e-03
 2.41546000e+00,        +5.620246491841e-09,        +5.556041586955e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.925796667592e-11,        +6.985096958454e-03,        +5.487297675454e-11,        +9.876271783742e-03
 2.41548000e+00,        +5.559662389748e-09,        +5.495477224602e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.885492332003e-11,        +6.988719925094e-03,        +5.427187703599e-11,        +9.875735048638e-03
 2.41550000e+00,        +5.500084971349e-09,        +5.435919463266e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.845839794773e-11,        +6.992327963671e-03,        +5.368086676882e-11,        +9.875213775990e-03
 2.41552000e+00,        +5.441492172833e-09,        +5.377346238507e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.806824979534e-11,        +6.995921079406e-03,        +5.309972358697e-11,        +9.874707938039e-03
 2.41554000e+00,        +5.383862527955e-09,        +5.319736083509e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.768434187580e-11,        +6.999499277726e-03,        +5.252823116798e-11,        +9.874217506921e-03
 2.41556000e+00,        +5.327175148853e-09,        +5.263068109892e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.730654085820e-11,        +7.003062564262e-03,        +5.196617903845e-11,        +9.873742454667e-03
 2.41558000e+00,        +5.271409707558e-09,        +5.207321989229e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.693471695176e-11,        +7.006610944848e-03,        +5.141336238663e-11,        +9.873282753203e-03
 2.41560000e+00,        +5.216546418182e-09,        +5.152477935215e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.656874379390e-11,        +7.010144425522e-03,        +5.086958188180e-11,        +9.872838374352e-03
 2.41562000e+00,        +5.162566019777e-09,        +5.098516686542e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.620849834261e-11,        +7.013663012522e-03,        +5.033464350059e-11,        +9.872409289834e-03
 2.41564000e+00,        +5.109449759797e-09,        +5.045419490345e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.585386077256e-11,        +7.017166712289e-03,        +4.980835835932e-11,        +9.871995471266e-03
 2.41566000e+00,        +5.057179378187e-09,        +4.993168086292e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.550471437507e-11,        +7.020655531463e-03,        +4.929054255271e-11,        +9.871596890164e-03
 2.41568000e+00,        +5.005737092015e-09,        +4.941744691222e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.516094546156e-11,        +7.024129476884e-03,        +4.878101699822e-11,        +9.871213517944e-03
 2.41570000e+00,        +4.955105580689e-09,        +4.891131984345e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.482244327059e-11,        +7.027588555590e-03,        +4.827960728614e-11,        +9.870845325923e-03
 2.41572000e+00,        +4.905267971678e-09,        +4.841313092976e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.448909987812e-11,        +7.031032774816e-03,        +4.778614353502e-11,        +9.870492285316e-03
 2.41574000e+00,        +4.856207826757e-09,        +4.792271578768e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.416081011099e-11,        +7.034462141996e-03,        +4.730046025220e-11,        +9.870154367245e-03
 2.41576000e+00,        +4.807909128732e-09,        +4.743991424440e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.383747146338e-11,        +7.037876664759e-03,        +4.682239619938e-11,        +9.869831542730e-03
 2.41578000e+00,        +4.760356268638e-09,        +4.696457020973e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.351898401635e-11,        +7.041276350929e-03,        +4.635179426291e-11,        +9.869523782698e-03
 2.41580000e+00,        +4.713534033375e-09,        +4.649653155242e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.320525035997e-11,        +7.044661208523e-03,        +4.588850132854e-11,        +9.869231057979e-03
 2.41582000e+00,        +4.667427593800e-09,        +4.603564998108e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.289617551840e-11,        +7.048031245755e-03,        +4.543236816080e-11,        +9.868953339309e-03
