        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41015000e+00,        +7.789681295332e-11,        +7.739783183375e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.167333158877e-13,        +2.782313007049e-03,        +9.153886506340e-13,        +1.182705805765e-02,        +2.167333158877e-13,        +2.782313007049e-03,        +9.153886506340e-13,        +1.182705805765e-02,        +1.314002596530e-13,        +1.686850266028e-03,        +5.568156029753e-13,        +7.194201565896e-03,        +7.746154655422e-11,        +9.944122694807e-01,        +7.533138853422e-11,        +9.733010182511e-01,        +8.713282355206e-14,        +1.118567246189e-03,        +5.942390459232e-13,        +7.677722125338e-03
 2.41015500e+00,        +7.790818297730e-11,        +7.740888035785e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.167903573651e-13,        +2.782639115435e-03,        +9.155938360337e-13,        +1.182802065863e-02,        +2.167903573651e-13,        +2.782639115435e-03,        +9.155938360337e-13,        +1.182802065863e-02,        +1.314324729863e-13,        +1.687017563028e-03,        +5.569414181346e-13,        +7.194800074099e-03,        +7.747280870767e-11,        +9.944117003761e-01,        +7.534196878195e-11,        +9.732987795930e-01,        +8.715143927931e-14,        +1.118642945436e-03,        +5.943763217241e-13,        +7.678399674254e-03
 2.41016000e+00,        +7.791955708850e-11,        +7.741993292384e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.168474207369e-13,        +2.782965263657e-03,        +9.157990946267e-13,        +1.182898331270e-02,        +2.168474207369e-13,        +2.782965263657e-03,        +9.157990946267e-13,        +1.182898331270e-02,        +1.314646983582e-13,        +1.687184877204e-03,        +5.570672782272e-13,        +7.195398616208e-03,        +7.748407490781e-11,        +9.944111312107e-01,        +7.535255290428e-11,        +9.732965408069e-01,        +8.717006159588e-14,        +1.118718648476e-03,        +5.945136467127e-13,        +7.679077264217e-03
 2.41016500e+00,        +7.793093528908e-11,        +7.743098953387e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.169045060151e-13,        +2.783291451726e-03,        +9.160044264506e-13,        +1.182994601987e-02,        +2.169045060151e-13,        +2.783291451726e-03,        +9.160044264506e-13,        +1.182994601987e-02,        +1.314969357753e-13,        +1.687352208561e-03,        +5.571931832763e-13,        +7.195997192217e-03,        +7.749534515679e-11,        +9.944105619844e-01,        +7.536314090323e-11,        +9.732943018927e-01,        +8.718869050530e-14,        +1.118794355308e-03,        +5.946510209147e-13,        +7.679754895222e-03
 2.41017000e+00,        +7.794231758118e-11,        +7.744205019005e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.169616132120e-13,        +2.783617679651e-03,        +9.162098315428e-13,        +1.183090878010e-02,        +2.169616132120e-13,        +2.783617679651e-03,        +9.162098315428e-13,        +1.183090878010e-02,        +1.315291852441e-13,        +1.687519557102e-03,        +5.573191333051e-13,        +7.196595802118e-03,        +7.750661945671e-11,        +9.944099926973e-01,        +7.537373278084e-11,        +9.732920628505e-01,        +8.720732601111e-14,        +1.118870065934e-03,        +5.947884443556e-13,        +7.680432567268e-03
 2.41017500e+00,        +7.795370396693e-11,        +7.745311489451e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.170187423395e-13,        +2.783943947443e-03,        +9.164153099409e-13,        +1.183187159340e-02,        +2.170187423395e-13,        +2.783943947443e-03,        +9.164153099409e-13,        +1.183187159340e-02,        +1.315614467712e-13,        +1.687686922831e-03,        +5.574451283369e-13,        +7.197194445906e-03,        +7.751789780970e-11,        +9.944094233494e-01,        +7.538432853917e-11,        +9.732898236803e-01,        +8.722596811686e-14,        +1.118945780355e-03,        +5.949259170613e-13,        +7.681110280350e-03
 2.41018000e+00,        +7.796509444848e-11,        +7.746418364937e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.170758934097e-13,        +2.784270255110e-03,        +9.166208616824e-13,        +1.183283445975e-02,        +2.170758934097e-13,        +2.784270255110e-03,        +9.166208616824e-13,        +1.183283445975e-02,        +1.315937203632e-13,        +1.687854305752e-03,        +5.575711683948e-13,        +7.197793123575e-03,        +7.752918021788e-11,        +9.944088539406e-01,        +7.539492818024e-11,        +9.732875843822e-01,        +8.724461682610e-14,        +1.119021498573e-03,        +5.950634390575e-13,        +7.681788034466e-03
 2.41018500e+00,        +7.797648902799e-11,        +7.747525645678e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.171330664349e-13,        +2.784596602663e-03,        +9.168264868049e-13,        +1.183379737912e-02,        +2.171330664349e-13,        +2.784596602663e-03,        +9.168264868049e-13,        +1.183379737912e-02,        +1.316260060267e-13,        +1.688021705869e-03,        +5.576972535021e-13,        +7.198391835117e-03,        +7.754046668338e-11,        +9.944082844709e-01,        +7.540553170610e-11,        +9.732853449561e-01,        +8.726327214237e-14,        +1.119097220587e-03,        +5.952010103698e-13,        +7.682465829614e-03
 2.41019000e+00,        +7.798788770759e-11,        +7.748633331886e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.171902614272e-13,        +2.784922990112e-03,        +9.170321853461e-13,        +1.183476035151e-02,        +2.171902614272e-13,        +2.784922990112e-03,        +9.170321853461e-13,        +1.183476035151e-02,        +1.316583037681e-13,        +1.688189123185e-03,        +5.578233836820e-13,        +7.198990580527e-03,        +7.755175720833e-11,        +9.944077149403e-01,        +7.541613911881e-11,        +9.732831054022e-01,        +8.728193406922e-14,        +1.119172946400e-03,        +5.953386310240e-13,        +7.683143665789e-03
 2.41019500e+00,        +7.799929048945e-11,        +7.749741423775e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.172474783986e-13,        +2.785249417467e-03,        +9.172379573436e-13,        +1.183572337691e-02,        +2.172474783986e-13,        +2.785249417467e-03,        +9.172379573436e-13,        +1.183572337691e-02,        +1.316906135941e-13,        +1.688356557704e-03,        +5.579495589579e-13,        +7.199589359797e-03,        +7.756305179485e-11,        +9.944071453488e-01,        +7.542675042040e-11,        +9.732808657203e-01,        +8.730060261021e-14,        +1.119248676012e-03,        +5.954763010460e-13,        +7.683821542989e-03
