        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43590500e+00,        +1.006940595740e-03,        +5.546479552756e-06,        +1.112684567405e-04
 2.43591000e+00,        +1.008947757130e-03,        +5.706552599598e-06,        +1.112270213271e-04
 2.43591500e+00,        +1.010961566071e-03,        +5.867034029876e-06,        +1.111854719361e-04
 2.43592000e+00,        +1.012982051700e-03,        +6.027925385033e-06,        +1.111438081037e-04
 2.43592500e+00,        +1.015009243307e-03,        +6.189228218671e-06,        +1.111020293637e-04
 2.43593000e+00,        +1.017043170348e-03,        +6.350944085664e-06,        +1.110601352472e-04
 2.43593500e+00,        +1.019083862434e-03,        +6.513074552285e-06,        +1.110181252832e-04
 2.43594000e+00,        +1.021131349342e-03,        +6.675621192290e-06,        +1.109759989980e-04
 2.43594500e+00,        +1.023185661010e-03,        +6.838585582208e-06,        +1.109337559156e-04
 2.43595000e+00,        +1.025246827542e-03,        +7.001969317046e-06,        +1.108913955575e-04
 2.43595500e+00,        +1.027314879205e-03,        +7.165773987352e-06,        +1.108489174426e-04
 2.43596000e+00,        +1.029389846433e-03,        +7.330001200868e-06,        +1.108063210872e-04
 2.43596500e+00,        +1.031471759828e-03,        +7.494652567585e-06,        +1.107636060054e-04
 2.43597000e+00,        +1.033560650160e-03,        +7.659729710724e-06,        +1.107207717085e-04
 2.43597500e+00,        +1.035656548367e-03,        +7.825234255831e-06,        +1.106778177052e-04
 2.43598000e+00,        +1.037759485561e-03,        +7.991167840991e-06,        +1.106347435017e-04
 2.43598500e+00,        +1.039869493022e-03,        +8.157532109249e-06,        +1.105915486017e-04
 2.43599000e+00,        +1.041986602205e-03,        +8.324328713978e-06,        +1.105482325062e-04
 2.43599500e+00,        +1.044110844740e-03,        +8.491559315139e-06,        +1.105047947136e-04
 2.43600000e+00,        +1.046242252429e-03,        +8.659225584514e-06,        +1.104612347195e-04
 2.43600500e+00,        +1.048380857254e-03,        +8.827329197142e-06,        +1.104175520170e-04
 2.43601000e+00,        +1.050526691371e-03,        +8.995871836171e-06,        +1.103737460964e-04
 2.43601500e+00,        +1.052679787118e-03,        +9.164855206080e-06,        +1.103298164456e-04
 2.43602000e+00,        +1.054840177010e-03,        +9.334281000601e-06,        +1.102857625494e-04
 2.43602500e+00,        +1.057007893745e-03,        +9.504150933416e-06,        +1.102415838900e-04
 2.43603000e+00,        +1.059182970202e-03,        +9.674466723348e-06,        +1.101972799470e-04
 2.43603500e+00,        +1.061365439445e-03,        +9.845230105040e-06,        +1.101528501970e-04
 2.43604000e+00,        +1.063555334721e-03,        +1.001644280857e-05,        +1.101082941140e-04
 2.43604500e+00,        +1.065752689464e-03,        +1.018810658562e-05,        +1.100636111692e-04
 2.43605000e+00,        +1.067957537295e-03,        +1.036022318743e-05,        +1.100188008307e-04
 2.43605500e+00,        +1.070169912023e-03,        +1.053279437963e-05,        +1.099738625641e-04
 2.43606000e+00,        +1.072389847647e-03,        +1.070582193401e-05,        +1.099287958319e-04
 2.43606500e+00,        +1.074617378358e-03,        +1.087930763495e-05,        +1.098836000940e-04
 2.43607000e+00,        +1.076852538537e-03,        +1.105325327018e-05,        +1.098382748071e-04
 2.43607500e+00,        +1.079095362760e-03,        +1.122766063965e-05,        +1.097928194251e-04
 2.43608000e+00,        +1.081345885799e-03,        +1.140253155084e-05,        +1.097472333991e-04
 2.43608500e+00,        +1.083604142618e-03,        +1.157786782881e-05,        +1.097015161771e-04
 2.43609000e+00,        +1.085870168384e-03,        +1.175367129643e-05,        +1.096556672040e-04
 2.43609500e+00,        +1.088143998459e-03,        +1.192994378850e-05,        +1.096096859221e-04
 2.43610000e+00,        +1.090425668406e-03,        +1.210668715359e-05,        +1.095635717703e-04
 2.43610500e+00,        +1.092715213990e-03,        +1.228390325094e-05,        +1.095173241848e-04
 2.43611000e+00,        +1.095012671178e-03,        +1.246159393837e-05,        +1.094709425984e-04
 2.43611500e+00,        +1.097318076143e-03,        +1.263976109792e-05,        +1.094244264410e-04
 2.43612000e+00,        +1.099631465261e-03,        +1.281840660801e-05,        +1.093777751396e-04
 2.43612500e+00,        +1.101952875117e-03,        +1.299753236757e-05,        +1.093309881178e-04
 2.43613000e+00,        +1.104282342504e-03,        +1.317714027642e-05,        +1.092840647963e-04
 2.43613500e+00,        +1.106619904424e-03,        +1.335723224800e-05,        +1.092370045923e-04
 2.43614000e+00,        +1.108965598092e-03,        +1.353781020710e-05,        +1.091898069203e-04
 2.43614500e+00,        +1.111319460934e-03,        +1.371887608840e-05,        +1.091424711912e-04
 2.43615000e+00,        +1.113681530591e-03,        +1.390043183303e-05,        +1.090949968129e-04
 2.43615500e+00,        +1.116051844919e-03,        +1.408247939592e-05,        +1.090473831900e-04
 2.43616000e+00,        +1.118430441992e-03,        +1.426502074006e-05,        +1.089996297240e-04
 2.43616500e+00,        +1.120817360103e-03,        +1.444805783742e-05,        +1.089517358128e-04
 2.43617000e+00,        +1.123212637762e-03,        +1.463159267676e-05,        +1.089037008514e-04
 2.43617500e+00,        +1.125616313705e-03,        +1.481562723939e-05,        +1.088555242310e-04
 2.43618000e+00,        +1.128028426888e-03,        +1.500016355068e-05,        +1.088072053399e-04
 2.43618500e+00,        +1.130449016493e-03,        +1.518520361051e-05,        +1.087587435628e-04
 2.43619000e+00,        +1.132878121927e-03,        +1.537074944171e-05,        +1.087101382811e-04
 2.43619500e+00,        +1.135315782826e-03,        +1.555680309135e-05,        +1.086613888728e-04
 2.43620000e+00,        +1.137762039055e-03,        +1.574336659822e-05,        +1.086124947123e-04
 2.43620500e+00,        +1.140216930709e-03,        +1.593044202562e-05,        +1.085634551707e-04
 2.43621000e+00,        +1.142680498117e-03,        +1.611803143996e-05,        +1.085142696157e-04
 2.43621500e+00,        +1.145152781843e-03,        +1.630613691818e-05,        +1.084649374113e-04
 2.43622000e+00,        +1.147633822682e-03,        +1.649476055277e-05,        +1.084154579180e-04
 2.43622500e+00,        +1.150123661671e-03,        +1.668390444278e-05,        +1.083658304930e-04
 2.43623000e+00,        +1.152622340086e-03,        +1.687357069416e-05,        +1.083160544895e-04
 2.43623500e+00,        +1.155129899440e-03,        +1.706376144261e-05,        +1.082661292576e-04
 2.43624000e+00,        +1.157646381491e-03,        +1.725447881615e-05,        +1.082160541433e-04
 2.43624500e+00,        +1.160171828242e-03,        +1.744572495277e-05,        +1.081658284893e-04
 2.43625000e+00,        +1.162706281940e-03,        +1.763750202908e-05,        +1.081154516344e-04
 2.43625500e+00,        +1.165249785079e-03,        +1.782981219358e-05,        +1.080649229139e-04
 2.43626000e+00,        +1.167802380404e-03,        +1.802265763261e-05,        +1.080142416593e-04
 2.43626500e+00,        +1.170364110910e-03,        +1.821604054060e-05,        +1.079634071982e-04
 2.43627000e+00,        +1.172935019845e-03,        +1.840996311568e-05,        +1.079124188548e-04
 2.43627500e+00,        +1.175515150710e-03,        +1.860442757792e-05,        +1.078612759490e-04
 2.43628000e+00,        +1.178104547265e-03,        +1.879943614751e-05,        +1.078099777974e-04
 2.43628500e+00,        +1.180703253526e-03,        +1.899499106865e-05,        +1.077585237124e-04
 2.43629000e+00,        +1.183311313769e-03,        +1.919109459169e-05,        +1.077069130026e-04
