        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41015000e+00,        +1.025414993838e-10,        +7.280816083265e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.169231843403e-13,        +3.090682174972e-03,        +9.425673367895e-13,        +1.294590230010e-02,        +3.169231843403e-13,        +3.090682174972e-03,        +9.425673367895e-13,        +1.294590230010e-02,        +1.775500706613e-13,        +1.731494777513e-03,        +5.885714995616e-13,        +8.083867149376e-03,        +1.019370686466e-10,        +9.941055012769e-01,        +7.062142001688e-11,        +9.699657182552e-01,        +1.099574821769e-13,        +1.072321770577e-03,        +6.556019794165e-13,        +9.004512295311e-03
 2.41015500e+00,        +1.025528348811e-10,        +7.281923325102e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.169955565191e-13,        +3.091046258122e-03,        +9.427476201782e-13,        +1.294640959660e-02,        +3.169955565191e-13,        +3.091046258122e-03,        +9.427476201782e-13,        +1.294640959660e-02,        +1.775885289104e-13,        +1.731678398907e-03,        +5.886897163853e-13,        +8.084261397756e-03,        +1.019482721857e-10,        +9.941048660806e-01,        +7.063205169550e-11,        +9.699642325541e-01,        +1.099786100061e-13,        +1.072409262343e-03,        +6.557442189522e-13,        +9.005096451534e-03
 2.41016000e+00,        +1.025641739832e-10,        +7.283030923452e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.170679527301e-13,        +3.091410386459e-03,        +9.429279594297e-13,        +1.294691687211e-02,        +3.170679527301e-13,        +3.091410386459e-03,        +9.429279594297e-13,        +1.294691687211e-02,        +1.776269997089e-13,        +1.731862041204e-03,        +5.888079704555e-13,        +8.084655641918e-03,        +1.019594792863e-10,        +9.941042308109e-01,        +7.064268680032e-11,        +9.699627468674e-01,        +1.099997444325e-13,        +1.072496761399e-03,        +6.558865043149e-13,        +9.005680618530e-03
 2.41016500e+00,        +1.025755166915e-10,        +7.284138878470e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.171403729841e-13,        +3.091774559986e-03,        +9.431083545676e-13,        +1.294742412662e-02,        +3.171403729841e-13,        +3.091774559986e-03,        +9.431083545676e-13,        +1.294742412662e-02,        +1.776654830625e-13,        +1.732045704404e-03,        +5.889262617878e-13,        +8.085049881855e-03,        +1.019706899500e-10,        +9.941035954679e-01,        +7.065332533282e-11,        +9.699612611952e-01,        +1.100208854591e-13,        +1.072584267745e-03,        +6.560288355243e-13,        +9.006264796288e-03
 2.41017000e+00,        +1.025868630076e-10,        +7.285247190307e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.172128172915e-13,        +3.092138778707e-03,        +9.432888056150e-13,        +1.294793136011e-02,        +3.172128172915e-13,        +3.092138778707e-03,        +9.432888056150e-13,        +1.294793136011e-02,        +1.777039789766e-13,        +1.732229388509e-03,        +5.890445903981e-13,        +8.085444117556e-03,        +1.019819041782e-10,        +9.941029600514e-01,        +7.066396729446e-11,        +9.699597755375e-01,        +1.100420330885e-13,        +1.072671781380e-03,        +6.561712126004e-13,        +9.006848984800e-03
 2.41017500e+00,        +1.025982129330e-10,        +7.286355859118e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.172852856629e-13,        +3.092503042624e-03,        +9.434693125954e-13,        +1.294843857255e-02,        +3.172852856629e-13,        +3.092503042624e-03,        +9.434693125954e-13,        +1.294843857255e-02,        +1.777424874566e-13,        +1.732413093518e-03,        +5.891629563021e-13,        +8.085838349014e-03,        +1.019931219725e-10,        +9.941023245616e-01,        +7.067461268672e-11,        +9.699582898944e-01,        +1.100631873235e-13,        +1.072759302303e-03,        +6.563136355627e-13,        +9.007433184058e-03
 2.41018000e+00,        +1.026095664692e-10,        +7.287464885054e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.173577781089e-13,        +3.092867351740e-03,        +9.436498755322e-13,        +1.294894576394e-02,        +3.173577781089e-13,        +3.092867351740e-03,        +9.436498755322e-13,        +1.294894576394e-02,        +1.777810085080e-13,        +1.732596819433e-03,        +5.892813595157e-13,        +8.086232576218e-03,        +1.020043433345e-10,        +9.941016889983e-01,        +7.068526151106e-11,        +9.699568042658e-01,        +1.100843481671e-13,        +1.072846830516e-03,        +6.564561044311e-13,        +9.008017394051e-03
 2.41018500e+00,        +1.026209236179e-10,        +7.288574268270e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.174302946401e-13,        +3.093231706060e-03,        +9.438304944487e-13,        +1.294945293427e-02,        +3.174302946401e-13,        +3.093231706060e-03,        +9.438304944487e-13,        +1.294945293427e-02,        +1.778195421363e-13,        +1.732780566255e-03,        +5.893998000546e-13,        +8.086626799159e-03,        +1.020155682655e-10,        +9.941010533617e-01,        +7.069591376897e-11,        +9.699553186518e-01,        +1.101055156220e-13,        +1.072934366016e-03,        +6.565986192253e-13,        +9.008601614773e-03
 2.41019000e+00,        +1.026322843806e-10,        +7.289684008918e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.175028352671e-13,        +3.093596105585e-03,        +9.440111693684e-13,        +1.294996008350e-02,        +3.175028352671e-13,        +3.093596105585e-03,        +9.440111693684e-13,        +1.294996008350e-02,        +1.778580883470e-13,        +1.732964333985e-03,        +5.895182779346e-13,        +8.087021017830e-03,        +1.020267967673e-10,        +9.941004176516e-01,        +7.070656946192e-11,        +9.699538330525e-01,        +1.101266896910e-13,        +1.073021908804e-03,        +6.567411799651e-13,        +9.009185846213e-03
 2.41019500e+00,        +1.026436487587e-10,        +7.290794107153e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.175754000004e-13,        +3.093960550319e-03,        +9.441919003146e-13,        +1.295046721164e-02,        +3.175754000004e-13,        +3.093960550319e-03,        +9.441919003146e-13,        +1.295046721164e-02,        +1.778966471455e-13,        +1.733148122624e-03,        +5.896367931716e-13,        +8.087415232219e-03,        +1.020380288412e-10,        +9.940997818682e-01,        +7.071722859137e-11,        +9.699523474678e-01,        +1.101478703770e-13,        +1.073109458880e-03,        +6.568837866704e-13,        +9.009770088363e-03
